day,week day,temperature_max,temperature_min,rain,snow,wind,sunrise,sunset,place
12 NOV,Hoy,26°,16°,0 mm,0 cm,22 km/h,07:52,18:11,Málaga
13 NOV,Mañ,23°,15°,0 mm,0 cm,11 km/h,07:53,18:10,Málaga
14 NOV,Mar,27°,14°,0 mm,0 cm,14 km/h,07:54,18:09,Málaga
15 NOV,Mié,23°,16°,0 mm,0 cm,13 km/h,07:55,18:09,Málaga
16 NOV,Jue,23°,14°,0 mm,0 cm,12 km/h,07:56,18:08,Málaga
17 NOV,Vie,23°,14°,0 mm,0 cm,13 km/h,07:57,18:07,Málaga
18 NOV,Sáb,22°,14°,0 mm,0 cm,8 km/h,07:58,18:07,Málaga
19 NOV,Dom,22°,15°,0 mm,0 cm,9 km/h,07:59,18:06,Málaga
20 NOV,Lun,22°,13°,0 mm,0 cm,7 km/h,08:00,18:05,Málaga
21 NOV,Mar,22°,14°,0 mm,0 cm,17 km/h,08:01,18:05,Málaga
22 NOV,Mié,21°,12°,0 mm,0 cm,18 km/h,08:02,18:04,Málaga
23 NOV,Jue,20°,13°,0 mm,0 cm,18 km/h,08:03,18:04,Málaga
24 NOV,Vie,20°,12°,0 mm,0 cm,19 km/h,08:04,18:04,Málaga
25 NOV,Sáb,18°,13°,1 mm,0 cm,14 km/h,08:05,18:03,Málaga
12 NOV,Hoy,20°,16°,0 mm,0 cm,6 km/h,07:44,18:03,Almería
13 NOV,Mañ,19°,16°,0 mm,0 cm,7 km/h,07:45,18:02,Almería
14 NOV,Mar,20°,17°,0 mm,0 cm,10 km/h,07:46,18:01,Almería
15 NOV,Mié,22°,17°,0 mm,0 cm,14 km/h,07:47,18:00,Almería
16 NOV,Jue,19°,16°,0 mm,0 cm,9 km/h,07:48,18:00,Almería
17 NOV,Vie,20°,16°,0 mm,0 cm,8 km/h,07:49,17:59,Almería
18 NOV,Sáb,19°,16°,0 mm,0 cm,7 km/h,07:50,17:58,Almería
19 NOV,Dom,21°,16°,0 mm,0 cm,8 km/h,07:51,17:58,Almería
20 NOV,Lun,20°,17°,0 mm,0 cm,11 km/h,07:52,17:57,Almería
21 NOV,Mar,20°,16°,0 mm,0 cm,13 km/h,07:53,17:57,Almería
22 NOV,Mié,18°,14°,0 mm,0 cm,11 km/h,07:54,17:56,Almería
23 NOV,Jue,19°,15°,0 mm,0 cm,10 km/h,07:55,17:56,Almería
24 NOV,Vie,19°,13°,0 mm,0 cm,24 km/h,07:56,17:55,Almería
25 NOV,Sáb,17°,13°,7 mm,0 cm,20 km/h,07:57,17:55,Almería
12 NOV,Hoy,23°,12°,0 mm,0 cm,6 km/h,07:59,18:16,Sevilla
13 NOV,Mañ,25°,14°,0 mm,0 cm,11 km/h,08:00,18:15,Sevilla
14 NOV,Mar,26°,13°,0 mm,0 cm,8 km/h,08:01,18:14,Sevilla
15 NOV,Mié,26°,12°,0 mm,0 cm,12 km/h,08:03,18:13,Sevilla
16 NOV,Jue,24°,12°,0 mm,0 cm,8 km/h,08:04,18:13,Sevilla
17 NOV,Vie,24°,13°,0 mm,0 cm,9 km/h,08:05,18:12,Sevilla
18 NOV,Sáb,22°,12°,0 mm,0 cm,8 km/h,08:06,18:11,Sevilla
19 NOV,Dom,23°,12°,0 mm,0 cm,8 km/h,08:07,18:11,Sevilla
20 NOV,Lun,21°,12°,0 mm,0 cm,6 km/h,08:08,18:10,Sevilla
21 NOV,Mar,19°,12°,0 mm,0 cm,12 km/h,08:09,18:10,Sevilla
22 NOV,Mié,18°,10°,0 mm,0 cm,10 km/h,08:10,18:09,Sevilla
23 NOV,Jue,19°,10°,0 mm,0 cm,10 km/h,08:11,18:09,Sevilla
24 NOV,Vie,17°,9°,0 mm,0 cm,14 km/h,08:12,18:08,Sevilla
25 NOV,Sáb,17°,10°,0 mm,0 cm,17 km/h,08:13,18:08,Sevilla
12 NOV,Hoy,20°,15°,0 mm,0 cm,16 km/h,07:59,18:19,Cádiz
13 NOV,Mañ,22°,17°,0 mm,0 cm,17 km/h,08:00,18:18,Cádiz
14 NOV,Mar,22°,16°,0 mm,0 cm,15 km/h,08:01,18:17,Cádiz
15 NOV,Mié,22°,16°,0 mm,0 cm,18 km/h,08:02,18:17,Cádiz
16 NOV,Jue,21°,15°,0 mm,0 cm,12 km/h,08:03,18:16,Cádiz
17 NOV,Vie,22°,16°,0 mm,0 cm,15 km/h,08:04,18:15,Cádiz
18 NOV,Sáb,20°,16°,0 mm,0 cm,12 km/h,08:05,18:15,Cádiz
19 NOV,Dom,20°,15°,0 mm,0 cm,10 km/h,08:06,18:14,Cádiz
20 NOV,Lun,19°,16°,0 mm,0 cm,14 km/h,08:07,18:13,Cádiz
21 NOV,Mar,17°,16°,0 mm,0 cm,20 km/h,08:08,18:13,Cádiz
22 NOV,Mié,16°,13°,0 mm,0 cm,23 km/h,08:09,18:12,Cádiz
23 NOV,Jue,16°,13°,0 mm,0 cm,14 km/h,08:10,18:12,Cádiz
24 NOV,Vie,17°,14°,0 mm,0 cm,18 km/h,08:11,18:12,Cádiz
25 NOV,Sáb,16°,14°,0 mm,0 cm,21 km/h,08:12,18:11,Cádiz
12 NOV,Hoy,22°,12°,0 mm,0 cm,5 km/h,07:56,18:10,Córdoba
13 NOV,Mañ,24°,13°,0 mm,0 cm,9 km/h,07:57,18:09,Córdoba
14 NOV,Mar,26°,13°,0 mm,0 cm,7 km/h,07:58,18:08,Córdoba
15 NOV,Mié,26°,12°,0 mm,0 cm,10 km/h,07:59,18:08,Córdoba
16 NOV,Jue,24°,12°,0 mm,0 cm,6 km/h,08:00,18:07,Córdoba
17 NOV,Vie,24°,12°,0 mm,0 cm,7 km/h,08:01,18:06,Córdoba
18 NOV,Sáb,23°,12°,0 mm,0 cm,6 km/h,08:02,18:05,Córdoba
19 NOV,Dom,24°,12°,0 mm,0 cm,8 km/h,08:03,18:05,Córdoba
20 NOV,Lun,22°,11°,0 mm,0 cm,7 km/h,08:04,18:04,Córdoba
21 NOV,Mar,18°,11°,0 mm,0 cm,13 km/h,08:05,18:04,Córdoba
22 NOV,Mié,18°,8°,0 mm,0 cm,7 km/h,08:06,18:03,Córdoba
23 NOV,Jue,17°,10°,0 mm,0 cm,6 km/h,08:07,18:03,Córdoba
24 NOV,Vie,16°,9°,0 mm,0 cm,14 km/h,08:08,18:02,Córdoba
25 NOV,Sáb,16°,9°,1 mm,0 cm,17 km/h,08:09,18:02,Córdoba
12 NOV,Hoy,21°,9°,0 mm,0 cm,7 km/h,07:49,18:07,Granada
13 NOV,Mañ,22°,11°,0 mm,0 cm,5 km/h,07:51,18:06,Granada
14 NOV,Mar,24°,11°,0 mm,0 cm,6 km/h,07:52,18:05,Granada
15 NOV,Mié,24°,12°,0 mm,0 cm,7 km/h,07:53,18:04,Granada
16 NOV,Jue,22°,14°,0 mm,0 cm,4 km/h,07:54,18:04,Granada
17 NOV,Vie,23°,13°,0 mm,0 cm,4 km/h,07:55,18:03,Granada
18 NOV,Sáb,22°,12°,0 mm,0 cm,4 km/h,07:56,18:02,Granada
19 NOV,Dom,23°,11°,0 mm,0 cm,5 km/h,07:57,18:02,Granada
20 NOV,Lun,22°,12°,0 mm,0 cm,5 km/h,07:58,18:01,Granada
21 NOV,Mar,19°,10°,0 mm,0 cm,7 km/h,07:59,18:01,Granada
22 NOV,Mié,16°,8°,0 mm,0 cm,8 km/h,08:00,18:00,Granada
23 NOV,Jue,15°,7°,0 mm,0 cm,8 km/h,08:01,18:00,Granada
24 NOV,Vie,13°,6°,0 mm,0 cm,10 km/h,08:02,17:59,Granada
25 NOV,Sáb,12°,7°,2 mm,0 cm,9 km/h,08:03,17:59,Granada
12 NOV,Hoy,22°,14°,0 mm,0 cm,10 km/h,08:03,18:20,Huelva
13 NOV,Mañ,24°,13°,0 mm,0 cm,9 km/h,08:04,18:19,Huelva
14 NOV,Mar,25°,14°,0 mm,0 cm,12 km/h,08:05,18:18,Huelva
15 NOV,Mié,25°,13°,0 mm,0 cm,11 km/h,08:06,18:18,Huelva
16 NOV,Jue,23°,13°,0 mm,0 cm,11 km/h,08:07,18:17,Huelva
17 NOV,Vie,23°,14°,0 mm,0 cm,10 km/h,08:08,18:16,Huelva
18 NOV,Sáb,21°,13°,0 mm,0 cm,8 km/h,08:09,18:16,Huelva
19 NOV,Dom,21°,12°,0 mm,0 cm,8 km/h,08:10,18:15,Huelva
20 NOV,Lun,19°,12°,0 mm,0 cm,9 km/h,08:11,18:14,Huelva
21 NOV,Mar,19°,13°,0 mm,0 cm,15 km/h,08:12,18:14,Huelva
22 NOV,Mié,17°,11°,0 mm,0 cm,15 km/h,08:13,18:13,Huelva
23 NOV,Jue,18°,11°,0 mm,0 cm,13 km/h,08:14,18:13,Huelva
24 NOV,Vie,17°,11°,0 mm,0 cm,12 km/h,08:15,18:12,Huelva
